
|       Host |       Time |     Offset |        Seq |    latency 
-191
| nfvha-comp-07.oot.lab.eng.bos| 1729627838139 |       9391 |        152 |       1.22
| nfvha-comp-07.oot.lab.eng.bos| 1729628177870 |       9392 |        153 |       0.83
| nfvha-comp-07.oot.lab.eng.bos| 1729628707891 |       9393 |        154 |       0.74
| nfvha-comp-07.oot.lab.eng.bos| 1729628818112 |       9394 |        155 |       0.82
| nfvha-comp-07.oot.lab.eng.bos| 1729628848437 |       9395 |        156 |       0.99
| nfvha-comp-07.oot.lab.eng.bos| 1729629548346 |       9396 |        157 |       0.81
| nfvha-comp-07.oot.lab.eng.bos| 1729630298412 |       9397 |        158 |       0.75
| nfvha-comp-07.oot.lab.eng.bos| 1729630608586 |       9398 |        159 |       0.81
| nfvha-comp-07.oot.lab.eng.bos| 1729630738605 |       9399 |        160 |       0.69
| nfvha-comp-07.oot.lab.eng.bos| 1729631108777 |       9400 |        161 |       0.72
| nfvha-comp-07.oot.lab.eng.bos| 1729631148798 |       9401 |        162 |       0.60
| nfvha-comp-07.oot.lab.eng.bos| 1729631529310 |       9402 |        163 |       0.99
| nfvha-comp-07.oot.lab.eng.bos| 1729632489153 |       9403 |        164 |       0.72
| nfvha-comp-07.oot.lab.eng.bos| 1729632559438 |       9404 |        165 |       0.85
| nfvha-comp-07.oot.lab.eng.bos| 1729632889447 |       9405 |        166 |       0.74
| nfvha-comp-07.oot.lab.eng.bos| 1729633289747 |       9406 |        167 |       0.90
| nfvha-comp-07.oot.lab.eng.bos| 1729633662158 |       9407 |        168 |       3.21
| nfvha-comp-07.oot.lab.eng.bos| 1729634119754 |       9408 |        169 |       0.69
| nfvha-comp-07.oot.lab.eng.bos| 1729634249952 |       9409 |        170 |       0.74
| nfvha-comp-07.oot.lab.eng.bos| 1729634390122 |       9410 |        171 |       0.78
| nfvha-comp-07.oot.lab.eng.bos| 1729634490124 |       9411 |        172 |       0.67
| nfvha-comp-07.oot.lab.eng.bos| 1729635110365 |       9412 |        173 |       0.77
| nfvha-comp-07.oot.lab.eng.bos| 1729635790446 |       9413 |        174 |       0.75
| nfvha-comp-07.oot.lab.eng.bos| 1729636230579 |       9414 |        175 |       0.77
| nfvha-comp-07.oot.lab.eng.bos| 1729636980697 |       9415 |        176 |       0.74
| nfvha-comp-07.oot.lab.eng.bos| 1729637360814 |       9416 |        177 |       0.73
| nfvha-comp-07.oot.lab.eng.bos| 1729637570953 |       9417 |        178 |       0.71
| nfvha-comp-07.oot.lab.eng.bos| 1729638061058 |       9418 |        179 |       0.70
| nfvha-comp-07.oot.lab.eng.bos| 1729638281220 |       9419 |        180 |       0.71
| nfvha-comp-07.oot.lab.eng.bos| 1729639021367 |       9420 |        181 |       0.70
| nfvha-comp-07.oot.lab.eng.bos| 1729639281526 |       9421 |        182 |       0.72
| nfvha-comp-07.oot.lab.eng.bos| 1729639881658 |       9422 |        183 |       0.76
| nfvha-comp-07.oot.lab.eng.bos| 1729640091865 |       9423 |        184 |       0.80
| nfvha-comp-07.oot.lab.eng.bos| 1729640311888 |       9424 |        185 |       0.69
| nfvha-comp-07.oot.lab.eng.bos| 1729640631917 |       9425 |        186 |       0.66
| nfvha-comp-07.oot.lab.eng.bos| 1729640832569 |       9426 |        187 |       1.18
| nfvha-comp-07.oot.lab.eng.bos| 1729641372186 |       9427 |        188 |       0.68
| nfvha-comp-07.oot.lab.eng.bos| 1729641972425 |       9428 |        189 |       0.76
| nfvha-comp-07.oot.lab.eng.bos| 1729642412457 |       9429 |        190 |       0.69
| nfvha-comp-07.oot.lab.eng.bos| 1729642782617 |       9430 |        191 |       0.74
| nfvha-comp-07.oot.lab.eng.bos| 1729643302764 |       9431 |        192 |       0.77
| nfvha-comp-07.oot.lab.eng.bos| 1729643973189 |       9432 |        193 |       1.02
| nfvha-comp-07.oot.lab.eng.bos| 1729644173085 |       9433 |        194 |       0.83
| nfvha-comp-07.oot.lab.eng.bos| 1729644413059 |       9434 |        195 |       0.68
| nfvha-comp-07.oot.lab.eng.bos| 1729644453180 |       9435 |        196 |       0.69
| nfvha-comp-07.oot.lab.eng.bos| 1729644463196 |       9436 |        197 |       0.56
| nfvha-comp-07.oot.lab.eng.bos| 1729644924086 |       9437 |        198 |       1.32
| nfvha-comp-07.oot.lab.eng.bos| 1729645543683 |       9438 |        199 |       0.80
| nfvha-comp-07.oot.lab.eng.bos| 1729645913699 |       9439 |        200 |       0.66
| nfvha-comp-07.oot.lab.eng.bos| 1729646613954 |       9440 |        201 |       0.82
| nfvha-comp-07.oot.lab.eng.bos| 1729646793858 |       9441 |        202 |       0.60
| nfvha-comp-07.oot.lab.eng.bos| 1729647224075 |       9442 |        203 |       0.70
| nfvha-comp-07.oot.lab.eng.bos| 1729647624172 |       9443 |        204 |       0.65
