|       Host |       Time |     Offset |        Seq |    latency 
-191
| nfvha-comp-06.oot.lab.eng.bos.| 1124513047075 |        247 |         38 |       0.94
| nfvha-comp-05.oot.lab.eng.bos.| 1124513126630 |        248 |         40 |       0.81
| nfvha-comp-02.oot.lab.eng.bos.| 1124513338415 |        249 |         40 |       0.92
| nfvha-comp-01.oot.lab.eng.bos.| 1124513395795 |        250 |         37 |       0.66
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124513487480 |        251 |         39 |       1.98
| nfvha-comp-06.oot.lab.eng.bos.| 1124513517149 |        252 |         39 |       0.88
| nfvha-comp-05.oot.lab.eng.bos.| 1124513616655 |        253 |         41 |       0.68
| nfvha-comp-06.oot.lab.eng.bos.| 1124513707078 |        254 |         40 |       0.68
| nfvha-comp-05.oot.lab.eng.bos.| 1124513736759 |        255 |         42 |       0.65
| nfvha-comp-03.oot.lab.eng.bos.| 1124513746221 |        256 |         31 |       0.84
| nfvha-comp-06.oot.lab.eng.bos.| 1124513817293 |        257 |         41 |       0.76
| nfvha-comp-01.oot.lab.eng.bos.| 1124513826053 |        258 |         38 |       0.82
| nfvha-comp-02.oot.lab.eng.bos.| 1124513858411 |        259 |         41 |       0.74
| nfvha-comp-01.oot.lab.eng.bos.| 1124514046180 |        260 |         39 |       0.81
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124514167706 |        261 |         40 |       2.07
| nfvha-comp-05.oot.lab.eng.bos.| 1124514196840 |        262 |         43 |       0.61
| nfvha-comp-01.oot.lab.eng.bos.| 1124514376238 |        263 |         40 |       0.74
| nfvha-comp-01.oot.lab.eng.bos.| 1124514446355 |        264 |         41 |       0.74
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124514467733 |        265 |         41 |       1.95
| nfvha-comp-06.oot.lab.eng.bos.| 1124514557533 |        266 |         42 |       0.83
| nfvha-comp-03.oot.lab.eng.bos.| 1124514686364 |        267 |         32 |       0.82
| nfvha-comp-02.oot.lab.eng.bos.| 1124514858658 |        268 |         42 |       0.78
| nfvha-comp-01.oot.lab.eng.bos.| 1124514936421 |        269 |         42 |       0.71
