|       Time |     Offset |        Seq |    latency 
| 1074057507411 |        304 |        304 |       0.79
| 1074058257413 |        305 |        305 |       0.69
| 1074059097487 |        306 |        306 |       0.69
| 1074059517665 |        307 |        307 |       0.73
| 1074060237679 |        308 |        308 |       0.66
| 1074060877884 |        309 |        309 |       0.76
| 1074061767829 |        310 |        310 |       0.65
| 1074062008134 |        311 |        311 |       0.81
| 1074062268106 |        312 |        312 |       0.69
| 1074062928163 |        313 |        313 |       0.68
| 1074063048253 |        314 |        314 |       0.64
| 1074063418352 |        315 |        315 |       0.65
| 1074064058674 |        316 |        316 |       0.81
| 1074064718580 |        317 |        317 |       0.63
| 1074065368892 |        318 |        318 |       0.79
| 1074066268859 |        319 |        319 |       0.69
| 1074066299124 |        320 |        320 |       0.84
| 1074066529183 |        321 |        321 |       0.79
| 1074066759221 |        322 |        322 |       0.73
| 1074067689474 |        323 |        323 |       0.88
| 1074068319508 |        324 |        324 |       0.81
| 1074068999630 |        325 |        325 |       0.83
| 1074069319566 |        326 |        326 |       0.67
| 1074069959881 |        327 |        327 |       0.88
| 1074070119915 |        328 |        328 |       0.72
| 1074070659987 |        329 |        329 |       0.72
| 1074071550256 |        330 |        330 |       0.90
| 1074072200308 |        331 |        331 |       0.83
| 1074072330349 |        332 |        332 |       0.77
| 1074072450345 |        333 |        333 |       0.64
| 1074072900547 |        334 |        334 |       0.72
| 1074073890774 |        335 |        335 |       0.89
| 1074074750747 |        336 |        336 |       0.78
| 1074075030821 |        337 |        337 |       0.74
| 1074075790887 |        338 |        338 |       0.73
| 1074076370850 |        339 |        339 |       0.63
| 1074076641047 |        340 |        340 |       0.73
| 1074077281107 |        341 |        341 |       0.67
| 1074077441323 |        342 |        342 |       0.77
| 1074077971380 |        343 |        343 |       0.73
| 1074078621393 |        344 |        344 |       0.64
| 1074078901566 |        345 |        345 |       0.69
| 1074079151783 |        346 |        346 |       0.80
| 1074079791802 |        347 |        347 |       0.63
| 1074080072136 |        348 |        348 |       0.84
| 1074080322257 |        349 |        349 |       0.84
| 1074080852291 |        350 |        350 |       0.74
| 1074081152285 |        351 |        351 |       0.63
| 1074081622407 |        352 |        352 |       0.68
| 1074081732572 |        353 |        353 |       0.72
| 1074081962838 |        354 |        354 |       0.84
| 1074082402877 |        355 |        355 |       0.74
| 1074083192951 |        356 |        356 |       0.71
| 1074083743138 |        357 |        357 |       0.82
| 1074083813138 |        358 |        358 |       0.68
| 1074084763372 |        359 |        359 |       0.81
| 1074085193548 |        360 |        360 |       0.88
| 1074086153561 |        361 |        361 |       0.81
| 1074087093679 |        362 |        362 |       0.87
| 1074087653638 |        363 |        363 |       0.72
| 1074087723661 |        364 |        364 |       0.64
| 1074088114123 |        365 |        365 |       0.98
| 1074089004129 |        366 |        366 |       0.89
| 1074089934100 |        367 |        367 |       0.80
| 1074089954316 |        368 |        368 |       0.88
| 1074090594117 |        369 |        369 |       0.58
| 1074091454272 |        370 |        370 |       0.67
| 1074091744392 |        371 |        371 |       0.67
| 1074092024649 |        372 |        372 |       0.79
